repo url,stars,num contributors,has_workflow_files,num_workflow_files,num_test_workflow_files,workflow_files_for_test,has_pyproject,has_setup,has_makefile,has_dockerfile,,
github.com/huggingface/transformers,123796,434,TRUE,30,19,"['add-model-like.yml', 'build-docker-images.yml', 'build-nightly-ci-docker-images.yml', 'build-past-ci-docker-images.yml', 'check_tiny_models.yml', 'doctests.yml', 'model-templates.yml', 'model_jobs.yml', 'self-nightly-scheduled.yml', 'self-past.yml', 'self-push-amd-mi210-caller.yml', 'self-push-amd-mi250-caller.yml', 'self-push-amd.yml', 'self-push-caller.yml', 'self-push.yml', 'self-scheduled-amd.yml', 'self-scheduled-caller.yml', 'self-scheduled.yml', 'slack-report.yml']",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
github.com/hwchase17/langchain,81431,474,TRUE,16,14,"['_compile_integration_test.yml', '_dependencies.yml', '_integration_test.yml', '_lint.yml', '_release.yml', '_release_docker.yml', '_test.yml', '_test_doc_imports.yml', '_test_release.yml', 'check-broken-links.yml', 'check_diffs.yml', 'codespell.yml', 'people.yml', 'scheduled_test.yml']",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
github.com/tensorflow/models,76549,364,TRUE,2,2,"['ci.yml', 'stale.yaml']",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
github.com/openai/openai-cookbook,55514,201,TRUE,2,2,"['build-website.yaml', 'stale.yaml']",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
github.com/hpcaitech/ColossalAI,37649,169,TRUE,29,28,"['README.md', 'build_on_pr.yml', 'build_on_schedule.yml', 'close_inactive.yml', 'compatiblity_test_on_dispatch.yml', 'compatiblity_test_on_pr.yml', 'compatiblity_test_on_schedule.yml', 'cuda_ext_check_before_merge.yml', 'doc_build_on_schedule_after_release.yml', 'doc_check_on_pr.yml', 'doc_test_on_pr.yml', 'doc_test_on_schedule.yml', 'draft_github_release_post_after_merge.yml', 'example_check_on_dispatch.yml', 'example_check_on_pr.yml', 'example_check_on_schedule.yml', 'post_commit.yml', 'release_docker_after_publish.yml', 'release_nightly_on_schedule.yml', 'release_pypi_after_merge.yml', 'release_test_pypi_before_merge.yml', 'report_leaderboard_to_lark.yml', 'report_test_coverage.yml', 'run_chatgpt_examples.yml', 'run_chatgpt_unit_tests.yml', 'run_colossalqa_unit_tests.yml', 'submodule.yml', 'translate_comment.yml']",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
github.com/ray-project/ray,30782,417,TRUE,1,1,['external-code-affected.yml'],FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
github.com/jerryjliu/llama_index,30336,478,TRUE,6,6,"['build_package.yml', 'codeql.yml', 'lint.yml', 'publish_release.yml', 'publish_sub_package.yml', 'unit_test.yml']",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
github.com/gradio-app/gradio,28311,260,TRUE,13,11,"['comment-queue.yml', 'delete-stale-spaces.yml', 'deploy+test-visual.yml', 'deploy-spaces.yml', 'deploy-website.yml', 'generate-changeset.yml', 'publish.yml', 'test-functional.yml', 'test-hygiene.yml', 'test-python.yml', 'tests-js.yml']",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
github.com/huggingface/diffusers,22188,472,TRUE,19,16,"['benchmark.yml', 'build_docker_images.yml', 'nightly_tests.yml', 'notify_slack_about_release.yml', 'pr_dependency_test.yml', 'pr_flax_dependency_test.yml', 'pr_test_fetcher.yml', 'pr_test_peft_backend.yml', 'pr_tests.yml', 'pr_torch_dependency_test.yml', 'push_tests.yml', 'push_tests_fast.yml', 'push_tests_mps.yml', 'pypi_publish.yaml', 'stale.yml', 'typos.yml']",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
github.com/invoke-ai/InvokeAI,21132,276,TRUE,11,11,"['build-container.yml', 'build-installer.yml', 'clean-caches.yml', 'close-inactive-issues.yml', 'frontend-checks.yml', 'frontend-tests.yml', 'label-pr.yml', 'mkdocs-material.yml', 'python-checks.yml', 'python-tests.yml', 'release.yml']",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
github.com/huggingface/datasets,18314,448,TRUE,7,4,"['benchmarks.yaml', 'ci.yml', 'release-conda.yml', 'self-assign.yaml']",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
github.com/mlflow/mlflow,17125,455,TRUE,41,34,"['README.md', 'advice.yml', 'autoformat.js', 'autoformat.yml', 'cancel.yml', 'closing-pr.js', 'closing-pr.yml', 'cross-version-testing.md', 'cross-version-tests.yml', 'deployments.yml', 'dev-setup.yml', 'devcontainer.yml', 'examples.yml', 'gateway.yml', 'js.yml', 'labeling.yml', 'lint.yml', 'master.yml', 'preview-docs.yml', 'protect.js', 'protect.yml', 'protos.yml', 'push-images.yml', 'r.yml', 'recipe-template.yml', 'recipe.yml', 'release-note.yml', 'requirements.yml', 'rerun.yml', 'slow-tests.yml', 'stale.yml', 'team-review.yml', 'test-package-build.yml', 'warn-on-editing-requirements.yml']",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
github.com/microsoft/guidance,17049,61,TRUE,5,5,"['ci_tests.yml', 'pypi_upload.yml', 'server_tests.yml', 'unit_tests.yml', 'unit_tests_gpu.yml']",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
github.com/microsoft/nni,13699,175,TRUE,2,2,"['cffconvert.yml', 'main.yml']",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
github.com/deepset-ai/haystack,13422,228,TRUE,20,20,"['benchmarks.yml', 'ci_metrics.yml', 'docker_release.yml', 'docstring_labeler.yml', 'e2e.yml', 'github_release.yml', 'labeler.yml', 'license_compliance.yml', 'linting.yml', 'linting_skipper.yml', 'minor_version_release.yml', 'project.yml', 'pypi_release.yml', 'readme_sync.yml', 'release_notes.yml', 'release_notes_skipper.yml', 'stale.yml', 'tests.yml', 'tests_skipper.yml', 'workflows_linting.yml']",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
github.com/microsoft/onnxruntime,12498,382,TRUE,17,16,"['cffconvert.yml', 'codeql.yml', 'gradle-wrapper-validation.yml', 'labeler.yml', 'lint.yml', 'linux.yml', 'publish-c-apidocs.yml', 'publish-csharp-apidocs.yml', 'publish-gh-pages.yml', 'publish-java-apidocs.yml', 'publish-js-apidocs.yml', 'publish-objectivec-apidocs.yml', 'publish-python-apidocs.yml', 'skip-doc-change.yml.j2', 'stale.yml', 'windows.yml']",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
github.com/PaddlePaddle/PaddleNLP,11297,250,TRUE,6,3,"['fast_tokenizer.yml', 'pipelines.yml', 'tests.yml']",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
github.com/opencv/cvat,11294,224,TRUE,23,23,"['bandit.yml', 'black.yml', 'cache.yml', 'cleanup.yml', 'codeql-analysis.yml', 'comment.yml', 'docs.yml', 'eslint.yml', 'finalize-release.yml', 'full.yml', 'hadolint.yml', 'helm.yml', 'isort.yml', 'main.yml', 'prepare-release.yml', 'publish-artifacts.yml', 'pylint.yml', 'regallint.yml', 'remark.yml', 'schedule.yml', 'search-cache.yml', 'stylelint.yml', 'update-yarn-lock.yml']",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
github.com/ludwig-ai/ludwig,10747,143,TRUE,6,6,"['cherry-pick-release.yml', 'docker.yml', 'pytest.yml', 'pytest_slow.yml', 'test-results.yml', 'upload-pypi.yml']",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
github.com/HazyResearch/flash-attention,10465,61,TRUE,1,1,['publish.yml'],FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
github.com/facebookresearch/ParlAI,10420,191,TRUE,2,2,"['lint.yml', 'stale.yml']",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
github.com/continuedev/continue,10056,70,TRUE,2,1,['codeql.yml'],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
github.com/NVIDIA/NeMo,9890,285,TRUE,10,9,"['blossom-ci.yml', 'changelog-build.yml', 'cherry-pick-release-commit.yml', 'cicd-main.yml', 'close-inactive-issue-pr.yml', 'codeql.yml', 'gh-docs.yml', 'import-test.yml', 'labeler.yml']",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
github.com/salesforce/LAVIS,8582,22,TRUE,1,0,[],TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
github.com/NVIDIA/Megatron-LM,8360,82,TRUE,1,1,['stale.yml'],TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
github.com/huggingface/tokenizers,8330,83,TRUE,14,9,"['docs-check.yml', 'node-release.yml', 'node.yml', 'python-release-conda.yml', 'python-release.yml', 'python.yml', 'rust-release.yml', 'rust.yml', 'stale.yml']",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
github.com/bmaltais/kohya_ss,8089,124,TRUE,1,1,['typos.yaml'],FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
github.com/lvwerra/trl,7845,162,TRUE,10,7,"['benchmark.yml', 'clear_cache.yml', 'docker-build.yml', 'slow-tests.yml', 'stale.yml', 'tests-main.yml', 'tests.yml']",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
github.com/Sygil-Dev/Sygil-WebUI,7807,96,TRUE,2,2,"['deploy.yml', 'test-deploy.yml']",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
github.com/pytorch/tutorials,7756,426,TRUE,5,4,"['build-tutorials.yml', 'docathon-assign.yml', 'docathon-label-sync.yml', 'docker-build.yml']",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
github.com/brycedrennan/imaginAIry,7756,17,TRUE,1,1,['ci.yaml'],FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
github.com/carson-katri/dream-textures,7561,11,TRUE,2,2,"['package-release.yml', 'stale.yml']",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
github.com/huggingface/text-generation-inference,7459,74,TRUE,9,6,"['autodocs.yml', 'build.yaml', 'client-tests.yaml', 'load_test.yaml', 'stale.yml', 'tests.yaml']",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
